class_name,threshold,selected,true_positive,false_positive,precision,recall
helmet,0.3,100,64,36,0.64,1.0
helmet,0.307,99,64,35,0.6464646464646465,1.0
helmet,0.3139,98,64,34,0.6530612244897959,1.0
helmet,0.3209,97,64,33,0.6597938144329897,1.0
helmet,0.3279,96,64,32,0.6666666666666666,1.0
helmet,0.3348,95,64,31,0.6736842105263158,1.0
helmet,0.3418,94,64,30,0.6808510638297872,1.0
helmet,0.3488,93,63,30,0.6774193548387096,0.984375
helmet,0.3558,92,63,29,0.6847826086956522,0.984375
helmet,0.3627,91,63,28,0.6923076923076923,0.984375
helmet,0.3697,90,63,27,0.7,0.984375
helmet,0.3767,89,63,26,0.7078651685393258,0.984375
helmet,0.3836,88,63,25,0.7159090909090909,0.984375
helmet,0.3906,87,63,24,0.7241379310344828,0.984375
helmet,0.3976,86,63,23,0.7325581395348837,0.984375
helmet,0.4045,85,62,23,0.7294117647058823,0.96875
helmet,0.4115,84,62,22,0.7380952380952381,0.96875
helmet,0.4185,83,62,21,0.7469879518072289,0.96875
helmet,0.4255,82,62,20,0.7560975609756098,0.96875
helmet,0.4324,81,62,19,0.7654320987654321,0.96875
helmet,0.4394,80,62,18,0.775,0.96875
helmet,0.4464,79,62,17,0.7848101265822784,0.96875
helmet,0.4533,78,62,16,0.7948717948717948,0.96875
helmet,0.4603,77,61,16,0.7922077922077922,0.953125
helmet,0.4673,76,61,15,0.8026315789473685,0.953125
helmet,0.4742,75,61,14,0.8133333333333334,0.953125
helmet,0.4812,74,61,13,0.8243243243243243,0.953125
helmet,0.4882,73,61,12,0.8356164383561644,0.953125
helmet,0.4952,72,61,11,0.8472222222222222,0.953125
helmet,0.5021,71,61,10,0.8591549295774648,0.953125
helmet,0.5091,70,61,9,0.8714285714285714,0.953125
helmet,0.5161,69,60,9,0.8695652173913043,0.9375
helmet,0.523,68,60,8,0.8823529411764706,0.9375
helmet,0.53,67,59,8,0.8805970149253731,0.921875
helmet,0.537,66,58,8,0.8787878787878788,0.90625
helmet,0.5439,65,58,7,0.8923076923076924,0.90625
helmet,0.5509,64,57,7,0.890625,0.890625
helmet,0.5579,63,56,7,0.8888888888888888,0.875
helmet,0.5648,62,55,7,0.8870967741935484,0.859375
helmet,0.5718,61,54,7,0.8852459016393442,0.84375
helmet,0.5788,60,54,6,0.9,0.84375
helmet,0.5858,59,53,6,0.8983050847457628,0.828125
helmet,0.5927,58,52,6,0.896551724137931,0.8125
helmet,0.5997,57,51,6,0.8947368421052632,0.796875
helmet,0.6067,56,50,6,0.8928571428571429,0.78125
helmet,0.6136,55,50,5,0.9090909090909091,0.78125
helmet,0.6206,54,49,5,0.9074074074074074,0.765625
helmet,0.6276,53,48,5,0.9056603773584906,0.75
helmet,0.6345,52,47,5,0.9038461538461539,0.734375
helmet,0.6415,51,46,5,0.9019607843137255,0.71875
helmet,0.6485,50,46,4,0.92,0.71875
helmet,0.6555,49,45,4,0.9183673469387755,0.703125
helmet,0.6624,48,44,4,0.9166666666666666,0.6875
helmet,0.6694,47,43,4,0.9148936170212766,0.671875
helmet,0.6764,46,42,4,0.9130434782608695,0.65625
helmet,0.6833,45,42,3,0.9333333333333333,0.65625
