candidate_id,class_name,conf,verdict,split,max_iou_same_class
person-0000,person,0.3000,accept,train,0.0200
person-0001,person,0.3017,reject,val,0.1017
person-0002,person,0.3035,reject,test,0.1833
person-0003,person,0.3052,reject,train,0.0433
person-0004,person,0.3069,reject,val,0.1250
person-0005,person,0.3086,reject,test,0.2067
person-0006,person,0.3104,reject,train,0.0667
person-0007,person,0.3121,reject,val,0.1483
person-0008,person,0.3138,accept,test,0.2300
person-0009,person,0.3156,reject,train,0.0900
person-0010,person,0.3173,reject,val,0.1717
person-0011,person,0.3190,reject,test,0.0317
person-0012,person,0.3208,reject,train,0.1133
person-0013,person,0.3225,reject,val,0.1950
person-0014,person,0.3242,reject,test,0.0550
person-0015,person,0.3259,reject,train,0.1367
person-0016,person,0.3277,accept,val,0.2183
person-0017,person,0.3294,reject,test,0.0783
person-0018,person,0.3311,reject,train,0.1600
person-0019,person,0.3329,reject,val,0.0200
person-0020,person,0.3346,reject,test,0.1017
person-0021,person,0.3363,reject,train,0.1833
person-0022,person,0.3380,reject,val,0.0433
person-0023,person,0.3398,reject,test,0.1250
person-0024,person,0.3415,accept,train,0.2067
person-0025,person,0.3432,reject,val,0.0667
person-0026,person,0.3450,reject,test,0.1483
person-0027,person,0.3467,reject,train,0.2300
person-0028,person,0.3484,reject,val,0.0900
person-0029,person,0.3502,reject,test,0.1717
person-0030,person,0.3519,reject,train,0.0317
person-0031,person,0.3536,reject,val,0.1133
person-0032,person,0.3553,accept,test,0.1950
person-0033,person,0.3571,reject,train,0.0550
person-0034,person,0.3588,reject,val,0.1367
person-0035,person,0.3605,reject,test,0.2183
person-0036,person,0.3623,reject,train,0.0783
person-0037,person,0.3640,reject,val,0.1600
person-0038,person,0.3657,reject,test,0.0200
person-0039,person,0.3674,reject,train,0.1017
person-0040,person,0.3692,accept,val,0.1833
person-0041,person,0.3709,reject,test,0.0433
person-0042,person,0.3726,reject,train,0.1250
person-0043,person,0.3744,reject,val,0.2067
person-0044,person,0.3761,reject,test,0.0667
person-0045,person,0.3778,reject,train,0.1483
person-0046,person,0.3795,reject,val,0.2300
person-0047,person,0.3813,reject,test,0.0900
person-0048,person,0.3830,accept,train,0.1717
person-0049,person,0.3847,reject,val,0.0317
person-0050,person,0.3865,reject,test,0.1133
person-0051,person,0.3882,reject,train,0.1950
person-0052,person,0.3899,reject,val,0.0550
person-0053,person,0.3917,reject,test,0.1367
person-0054,person,0.3934,reject,train,0.2183
person-0055,person,0.3951,reject,val,0.0783
person-0056,person,0.3968,accept,test,0.1600
person-0057,person,0.3986,reject,train,0.0200
person-0058,person,0.4003,reject,val,0.1017
person-0059,person,0.4020,reject,test,0.1833
person-0060,person,0.4038,reject,train,0.0433
person-0061,person,0.4055,reject,val,0.1250
person-0062,person,0.4072,reject,test,0.2067
person-0063,person,0.4089,reject,train,0.0667
person-0064,person,0.4107,accept,val,0.1483
person-0065,person,0.4124,reject,test,0.2300
person-0066,person,0.4141,reject,train,0.0900
person-0067,person,0.4159,reject,val,0.1717
person-0068,person,0.4176,reject,test,0.0317
