split,image,label,class_name,class_id,conf,mode,max_iou_same_class,cx,cy,w,h,verifier_conf,agreement_iou,consensus_score,consensus_decision
train,fixtures/images/train/person_000.jpg,fixtures/labels/train/person_000.txt,person,0,0.920,review,0.050,0.200,0.350,0.120,0.160,,,,downgraded_to_review
val,fixtures/images/val/person_001.jpg,fixtures/labels/val/person_001.txt,person,0,0.902,auto,0.090,0.320,0.410,0.120,0.160,0.866000,0.904762,0.883817,agreed_auto
test,fixtures/images/test/person_002.jpg,fixtures/labels/test/person_002.txt,person,0,0.884,auto,0.130,0.440,0.470,0.120,0.160,0.852000,0.904762,0.867853,agreed_auto
train,fixtures/images/train/person_003.jpg,fixtures/labels/train/person_003.txt,person,0,0.866,review,0.170,0.560,0.530,0.120,0.160,,,,downgraded_to_review
val,fixtures/images/val/person_004.jpg,fixtures/labels/val/person_004.txt,person,0,0.848,auto,0.050,0.680,0.590,0.120,0.160,0.824000,0.904762,0.835914,agreed_auto
test,fixtures/images/test/person_005.jpg,fixtures/labels/test/person_005.txt,person,0,0.830,auto,0.090,0.800,0.350,0.120,0.160,0.810000,0.904762,0.819939,agreed_auto
train,fixtures/images/train/person_006.jpg,fixtures/labels/train/person_006.txt,person,0,0.812,review,0.130,0.200,0.410,0.120,0.160,,,,downgraded_to_review
val,fixtures/images/val/person_007.jpg,fixtures/labels/val/person_007.txt,person,0,0.794,auto,0.170,0.320,0.470,0.120,0.160,0.782000,0.904762,0.787977,agreed_auto
test,fixtures/images/test/person_008.jpg,fixtures/labels/test/person_008.txt,person,0,0.776,auto,0.050,0.440,0.530,0.120,0.160,0.768000,0.904762,0.771990,agreed_auto
train,fixtures/images/train/person_009.jpg,fixtures/labels/train/person_009.txt,person,0,0.758,review,0.090,0.560,0.590,0.120,0.160,,,,downgraded_to_review
val,fixtures/images/val/person_010.jpg,fixtures/labels/val/person_010.txt,person,0,0.740,auto,0.130,0.680,0.350,0.120,0.160,0.740000,0.904762,0.740000,agreed_auto
test,fixtures/images/test/person_011.jpg,fixtures/labels/test/person_011.txt,person,0,0.722,auto,0.170,0.800,0.410,0.120,0.160,0.726000,0.904762,0.723997,agreed_auto
train,fixtures/images/train/person_012.jpg,fixtures/labels/train/person_012.txt,person,0,0.704,review,0.050,0.200,0.470,0.120,0.160,,,,primary_review
val,fixtures/images/val/person_013.jpg,fixtures/labels/val/person_013.txt,person,0,0.686,review,0.090,0.320,0.530,0.120,0.160,,,,primary_review
test,fixtures/images/test/person_014.jpg,fixtures/labels/test/person_014.txt,person,0,0.668,review,0.130,0.440,0.590,0.120,0.160,,,,primary_review
train,fixtures/images/train/person_015.jpg,fixtures/labels/train/person_015.txt,person,0,0.650,review,0.170,0.560,0.350,0.120,0.160,,,,primary_review
train,fixtures/images/train/helmet_000.jpg,fixtures/labels/train/helmet_000.txt,helmet,1,0.920,review,0.050,0.200,0.350,0.130,0.175,,,,downgraded_to_review
val,fixtures/images/val/helmet_001.jpg,fixtures/labels/val/helmet_001.txt,helmet,1,0.902,auto,0.090,0.320,0.410,0.130,0.175,0.866000,0.911765,0.883817,agreed_auto
test,fixtures/images/test/helmet_002.jpg,fixtures/labels/test/helmet_002.txt,helmet,1,0.884,auto,0.130,0.440,0.470,0.130,0.175,0.852000,0.911765,0.867853,agreed_auto
train,fixtures/images/train/helmet_003.jpg,fixtures/labels/train/helmet_003.txt,helmet,1,0.866,review,0.170,0.560,0.530,0.130,0.175,,,,downgraded_to_review
val,fixtures/images/val/helmet_004.jpg,fixtures/labels/val/helmet_004.txt,helmet,1,0.848,auto,0.050,0.680,0.590,0.130,0.175,0.824000,0.911765,0.835914,agreed_auto
test,fixtures/images/test/helmet_005.jpg,fixtures/labels/test/helmet_005.txt,helmet,1,0.830,auto,0.090,0.800,0.350,0.130,0.175,0.810000,0.911765,0.819939,agreed_auto
