split,image,label,class_name,class_id,conf,mode,max_iou_same_class,cx,cy,w,h,verifier_conf,agreement_iou,consensus_score,consensus_decision
val,fixtures/images/val/person_001.jpg,fixtures/labels/val/person_001.txt,person,0,0.902,auto,0.090,0.320,0.410,0.120,0.160,0.866000,0.904762,0.883817,agreed_auto
test,fixtures/images/test/person_002.jpg,fixtures/labels/test/person_002.txt,person,0,0.884,auto,0.130,0.440,0.470,0.120,0.160,0.852000,0.904762,0.867853,agreed_auto
val,fixtures/images/val/person_004.jpg,fixtures/labels/val/person_004.txt,person,0,0.848,auto,0.050,0.680,0.590,0.120,0.160,0.824000,0.904762,0.835914,agreed_auto
test,fixtures/images/test/person_005.jpg,fixtures/labels/test/person_005.txt,person,0,0.830,auto,0.090,0.800,0.350,0.120,0.160,0.810000,0.904762,0.819939,agreed_auto
val,fixtures/images/val/person_007.jpg,fixtures/labels/val/person_007.txt,person,0,0.794,auto,0.170,0.320,0.470,0.120,0.160,0.782000,0.904762,0.787977,agreed_auto
test,fixtures/images/test/person_008.jpg,fixtures/labels/test/person_008.txt,person,0,0.776,auto,0.050,0.440,0.530,0.120,0.160,0.768000,0.904762,0.771990,agreed_auto
val,fixtures/images/val/person_010.jpg,fixtures/labels/val/person_010.txt,person,0,0.740,auto,0.130,0.680,0.350,0.120,0.160,0.740000,0.904762,0.740000,agreed_auto
test,fixtures/images/test/person_011.jpg,fixtures/labels/test/person_011.txt,person,0,0.722,auto,0.170,0.800,0.410,0.120,0.160,0.726000,0.904762,0.723997,agreed_auto
val,fixtures/images/val/helmet_001.jpg,fixtures/labels/val/helmet_001.txt,helmet,1,0.902,auto,0.090,0.320,0.410,0.130,0.175,0.866000,0.911765,0.883817,agreed_auto
test,fixtures/images/test/helmet_002.jpg,fixtures/labels/test/helmet_002.txt,helmet,1,0.884,auto,0.130,0.440,0.470,0.130,0.175,0.852000,0.911765,0.867853,agreed_auto
val,fixtures/images/val/helmet_004.jpg,fixtures/labels/val/helmet_004.txt,helmet,1,0.848,auto,0.050,0.680,0.590,0.130,0.175,0.824000,0.911765,0.835914,agreed_auto
test,fixtures/images/test/helmet_005.jpg,fixtures/labels/test/helmet_005.txt,helmet,1,0.830,auto,0.090,0.800,0.350,0.130,0.175,0.810000,0.911765,0.819939,agreed_auto
val,fixtures/images/val/helmet_007.jpg,fixtures/labels/val/helmet_007.txt,helmet,1,0.794,auto,0.170,0.320,0.470,0.130,0.175,0.782000,0.911765,0.787977,agreed_auto
test,fixtures/images/test/helmet_008.jpg,fixtures/labels/test/helmet_008.txt,helmet,1,0.776,auto,0.050,0.440,0.530,0.130,0.175,0.768000,0.911765,0.771990,agreed_auto
val,fixtures/images/val/helmet_010.jpg,fixtures/labels/val/helmet_010.txt,helmet,1,0.740,auto,0.130,0.680,0.350,0.130,0.175,0.740000,0.911765,0.740000,agreed_auto
test,fixtures/images/test/helmet_011.jpg,fixtures/labels/test/helmet_011.txt,helmet,1,0.722,auto,0.170,0.800,0.410,0.130,0.175,0.726000,0.911765,0.723997,agreed_auto
val,fixtures/images/val/vest_001.jpg,fixtures/labels/val/vest_001.txt,vest,2,0.902,auto,0.090,0.320,0.410,0.140,0.190,0.866000,0.917808,0.883817,agreed_auto
test,fixtures/images/test/vest_002.jpg,fixtures/labels/test/vest_002.txt,vest,2,0.884,auto,0.130,0.440,0.470,0.140,0.190,0.852000,0.917808,0.867853,agreed_auto
val,fixtures/images/val/vest_004.jpg,fixtures/labels/val/vest_004.txt,vest,2,0.848,auto,0.050,0.680,0.590,0.140,0.190,0.824000,0.917808,0.835914,agreed_auto
test,fixtures/images/test/vest_005.jpg,fixtures/labels/test/vest_005.txt,vest,2,0.830,auto,0.090,0.800,0.350,0.140,0.190,0.810000,0.917808,0.819939,agreed_auto
val,fixtures/images/val/vest_007.jpg,fixtures/labels/val/vest_007.txt,vest,2,0.794,auto,0.170,0.320,0.470,0.140,0.190,0.782000,0.917808,0.787977,agreed_auto
test,fixtures/images/test/vest_008.jpg,fixtures/labels/test/vest_008.txt,vest,2,0.776,auto,0.050,0.440,0.530,0.140,0.190,0.768000,0.917808,0.771990,agreed_auto
val,fixtures/images/val/vest_010.jpg,fixtures/labels/val/vest_010.txt,vest,2,0.740,auto,0.130,0.680,0.350,0.140,0.190,0.740000,0.917808,0.740000,agreed_auto
test,fixtures/images/test/vest_011.jpg,fixtures/labels/test/vest_011.txt,vest,2,0.722,auto,0.170,0.800,0.410,0.140,0.190,0.726000,0.917808,0.723997,agreed_auto
val,fixtures/images/val/tractor_001.jpg,fixtures/labels/val/tractor_001.txt,tractor,3,0.902,auto,0.090,0.320,0.410,0.150,0.205,0.866000,0.923077,0.883817,agreed_auto
test,fixtures/images/test/tractor_002.jpg,fixtures/labels/test/tractor_002.txt,tractor,3,0.884,auto,0.130,0.440,0.470,0.150,0.205,0.852000,0.923077,0.867853,agreed_auto
val,fixtures/images/val/tractor_004.jpg,fixtures/labels/val/tractor_004.txt,tractor,3,0.848,auto,0.050,0.680,0.590,0.150,0.205,0.824000,0.923077,0.835914,agreed_auto
test,fixtures/images/test/tractor_005.jpg,fixtures/labels/test/tractor_005.txt,tractor,3,0.830,auto,0.090,0.800,0.350,0.150,0.205,0.810000,0.923077,0.819939,agreed_auto
val,fixtures/images/val/tractor_007.jpg,fixtures/labels/val/tractor_007.txt,tractor,3,0.794,auto,0.170,0.320,0.470,0.150,0.205,0.782000,0.923077,0.787977,agreed_auto
