split,image,label,class_name,class_id,conf,mode,max_iou_same_class,cx,cy,w,h,verifier_conf,agreement_iou,consensus_score,consensus_decision
train,fixtures/images/train/person_000.jpg,fixtures/labels/train/person_000.txt,person,0,0.920,review,0.050,0.200,0.350,0.120,0.160,,,,downgraded_to_review
train,fixtures/images/train/person_003.jpg,fixtures/labels/train/person_003.txt,person,0,0.866,review,0.170,0.560,0.530,0.120,0.160,,,,downgraded_to_review
train,fixtures/images/train/person_006.jpg,fixtures/labels/train/person_006.txt,person,0,0.812,review,0.130,0.200,0.410,0.120,0.160,,,,downgraded_to_review
train,fixtures/images/train/person_009.jpg,fixtures/labels/train/person_009.txt,person,0,0.758,review,0.090,0.560,0.590,0.120,0.160,,,,downgraded_to_review
train,fixtures/images/train/person_012.jpg,fixtures/labels/train/person_012.txt,person,0,0.704,review,0.050,0.200,0.470,0.120,0.160,,,,primary_review
val,fixtures/images/val/person_013.jpg,fixtures/labels/val/person_013.txt,person,0,0.686,review,0.090,0.320,0.530,0.120,0.160,,,,primary_review
test,fixtures/images/test/person_014.jpg,fixtures/labels/test/person_014.txt,person,0,0.668,review,0.130,0.440,0.590,0.120,0.160,,,,primary_review
train,fixtures/images/train/person_015.jpg,fixtures/labels/train/person_015.txt,person,0,0.650,review,0.170,0.560,0.350,0.120,0.160,,,,primary_review
train,fixtures/images/train/helmet_000.jpg,fixtures/labels/train/helmet_000.txt,helmet,1,0.920,review,0.050,0.200,0.350,0.130,0.175,,,,downgraded_to_review
train,fixtures/images/train/helmet_003.jpg,fixtures/labels/train/helmet_003.txt,helmet,1,0.866,review,0.170,0.560,0.530,0.130,0.175,,,,downgraded_to_review
train,fixtures/images/train/helmet_006.jpg,fixtures/labels/train/helmet_006.txt,helmet,1,0.812,review,0.130,0.200,0.410,0.130,0.175,,,,downgraded_to_review
train,fixtures/images/train/helmet_009.jpg,fixtures/labels/train/helmet_009.txt,helmet,1,0.758,review,0.090,0.560,0.590,0.130,0.175,,,,downgraded_to_review
train,fixtures/images/train/helmet_012.jpg,fixtures/labels/train/helmet_012.txt,helmet,1,0.704,review,0.050,0.200,0.470,0.130,0.175,,,,primary_review
val,fixtures/images/val/helmet_013.jpg,fixtures/labels/val/helmet_013.txt,helmet,1,0.686,review,0.090,0.320,0.530,0.130,0.175,,,,primary_review
test,fixtures/images/test/helmet_014.jpg,fixtures/labels/test/helmet_014.txt,helmet,1,0.668,review,0.130,0.440,0.590,0.130,0.175,,,,primary_review
train,fixtures/images/train/helmet_015.jpg,fixtures/labels/train/helmet_015.txt,helmet,1,0.650,review,0.170,0.560,0.350,0.130,0.175,,,,primary_review
train,fixtures/images/train/vest_000.jpg,fixtures/labels/train/vest_000.txt,vest,2,0.920,review,0.050,0.200,0.350,0.140,0.190,,,,downgraded_to_review
train,fixtures/images/train/vest_003.jpg,fixtures/labels/train/vest_003.txt,vest,2,0.866,review,0.170,0.560,0.530,0.140,0.190,,,,downgraded_to_review
train,fixtures/images/train/vest_006.jpg,fixtures/labels/train/vest_006.txt,vest,2,0.812,review,0.130,0.200,0.410,0.140,0.190,,,,downgraded_to_review
train,fixtures/images/train/vest_009.jpg,fixtures/labels/train/vest_009.txt,vest,2,0.758,review,0.090,0.560,0.590,0.140,0.190,,,,downgraded_to_review
train,fixtures/images/train/vest_012.jpg,fixtures/labels/train/vest_012.txt,vest,2,0.704,review,0.050,0.200,0.470,0.140,0.190,,,,primary_review
