split,image,label,class_name,class_id,conf,mode,max_iou_same_class,cx,cy,w,h
val,fixtures/images/val/person_001.jpg,fixtures/labels/val/person_001.txt,person,0,0.866,auto,0.090,0.326,0.410,0.120,0.160
test,fixtures/images/test/person_002.jpg,fixtures/labels/test/person_002.txt,person,0,0.852,review,0.130,0.434,0.470,0.120,0.160
val,fixtures/images/val/person_004.jpg,fixtures/labels/val/person_004.txt,person,0,0.824,review,0.050,0.674,0.590,0.120,0.160
test,fixtures/images/test/person_005.jpg,fixtures/labels/test/person_005.txt,person,0,0.810,auto,0.090,0.806,0.350,0.120,0.160
val,fixtures/images/val/person_007.jpg,fixtures/labels/val/person_007.txt,person,0,0.782,auto,0.170,0.326,0.470,0.120,0.160
test,fixtures/images/test/person_008.jpg,fixtures/labels/test/person_008.txt,person,0,0.768,review,0.050,0.434,0.530,0.120,0.160
val,fixtures/images/val/person_010.jpg,fixtures/labels/val/person_010.txt,person,0,0.740,review,0.130,0.674,0.350,0.120,0.160
test,fixtures/images/test/person_011.jpg,fixtures/labels/test/person_011.txt,person,0,0.726,auto,0.170,0.806,0.410,0.120,0.160
train,fixtures/images/train/person_099.jpg,fixtures/labels/train/person_099.txt,person,0,0.940,auto,0.170,0.850,0.590,0.120,0.160
val,fixtures/images/val/helmet_001.jpg,fixtures/labels/val/helmet_001.txt,helmet,1,0.866,auto,0.090,0.326,0.410,0.130,0.175
test,fixtures/images/test/helmet_002.jpg,fixtures/labels/test/helmet_002.txt,helmet,1,0.852,review,0.130,0.434,0.470,0.130,0.175
val,fixtures/images/val/helmet_004.jpg,fixtures/labels/val/helmet_004.txt,helmet,1,0.824,review,0.050,0.674,0.590,0.130,0.175
test,fixtures/images/test/helmet_005.jpg,fixtures/labels/test/helmet_005.txt,helmet,1,0.810,auto,0.090,0.806,0.350,0.130,0.175
val,fixtures/images/val/helmet_007.jpg,fixtures/labels/val/helmet_007.txt,helmet,1,0.782,auto,0.170,0.326,0.470,0.130,0.175
test,fixtures/images/test/helmet_008.jpg,fixtures/labels/test/helmet_008.txt,helmet,1,0.768,review,0.050,0.434,0.530,0.130,0.175
val,fixtures/images/val/helmet_010.jpg,fixtures/labels/val/helmet_010.txt,helmet,1,0.740,review,0.130,0.674,0.350,0.130,0.175
test,fixtures/images/test/helmet_011.jpg,fixtures/labels/test/helmet_011.txt,helmet,1,0.726,auto,0.170,0.806,0.410,0.130,0.175
train,fixtures/images/train/helmet_099.jpg,fixtures/labels/train/helmet_099.txt,helmet,1,0.940,auto,0.170,0.850,0.590,0.130,0.175
val,fixtures/images/val/vest_001.jpg,fixtures/labels/val/vest_001.txt,vest,2,0.866,auto,0.090,0.326,0.410,0.140,0.190
test,fixtures/images/test/vest_002.jpg,fixtures/labels/test/vest_002.txt,vest,2,0.852,review,0.130,0.434,0.470,0.140,0.190
val,fixtures/images/val/vest_004.jpg,fixtures/labels/val/vest_004.txt,vest,2,0.824,review,0.050,0.674,0.590,0.140,0.190
test,fixtures/images/test/vest_005.jpg,fixtures/labels/test/vest_005.txt,vest,2,0.810,auto,0.090,0.806,0.350,0.140,0.190
val,fixtures/images/val/vest_007.jpg,fixtures/labels/val/vest_007.txt,vest,2,0.782,auto,0.170,0.326,0.470,0.140,0.190
test,fixtures/images/test/vest_008.jpg,fixtures/labels/test/vest_008.txt,vest,2,0.768,review,0.050,0.434,0.530,0.140,0.190
val,fixtures/images/val/vest_010.jpg,fixtures/labels/val/vest_010.txt,vest,2,0.740,review,0.130,0.674,0.350,0.140,0.190
test,fixtures/images/test/vest_011.jpg,fixtures/labels/test/vest_011.txt,vest,2,0.726,auto,0.170,0.806,0.410,0.140,0.190
train,fixtures/images/train/vest_099.jpg,fixtures/labels/train/vest_099.txt,vest,2,0.940,auto,0.170,0.850,0.590,0.140,0.190
val,fixtures/images/val/tractor_001.jpg,fixtures/labels/val/tractor_001.txt,tractor,3,0.866,auto,0.090,0.326,0.410,0.150,0.205
test,fixtures/images/test/tractor_002.jpg,fixtures/labels/test/tractor_002.txt,tractor,3,0.852,review,0.130,0.434,0.470,0.150,0.205
val,fixtures/images/val/tractor_004.jpg,fixtures/labels/val/tractor_004.txt,tractor,3,0.824,review,0.050,0.674,0.590,0.150,0.205
test,fixtures/images/test/tractor_005.jpg,fixtures/labels/test/tractor_005.txt,tractor,3,0.810,auto,0.090,0.806,0.350,0.150,0.205
val,fixtures/images/val/tractor_007.jpg,fixtures/labels/val/tractor_007.txt,tractor,3,0.782,auto,0.170,0.326,0.470,0.150,0.205
