selected,priority_rank,priority_score,uncertainty_score,rarity_score,diversity_score,split,image,candidate_count,candidate_classes,min_confidence,max_confidence
false,,,0.985815,0.612372,,train,images/train/helmet_00.png,1,helmet,0.430000,0.430000
false,,,1.000000,0.612372,,train,images/train/helmet_01.jpg,1,helmet,0.500000,0.500000
true,9,0.574516,0.985815,0.433013,0.126562,train,images/train/helmet_02.png,1,helmet,0.570000,0.570000
false,,,0.942683,0.612372,,train,images/train/helmet_03.jpg,1,helmet,0.640000,0.640000
false,,,0.976500,0.612372,,train,images/train/helmet_04.png,1,helmet,0.410000,0.410000
false,,,0.998846,0.612372,,train,images/train/helmet_05.jpg,1,helmet,0.480000,0.480000
true,4,0.638676,0.992774,0.612372,0.198437,train,images/train/helmet_06.png,1,helmet,0.550000,0.550000
false,,,0.958042,0.612372,,train,images/train/helmet_07.jpg,1,helmet,0.620000,0.620000
false,,,0.970951,0.547723,,train,images/train/person_00.png,1,person,0.400000,0.400000
false,,,0.997402,0.547723,,train,images/train/person_01.jpg,1,person,0.470000,0.470000
false,,,0.995378,0.547723,,train,images/train/person_02.png,1,person,0.540000,0.540000
false,,,0.964800,0.547723,,train,images/train/person_03.jpg,1,person,0.610000,0.610000
false,,,0.904381,0.547723,,train,images/train/person_04.png,1,person,0.680000,0.680000
false,,,0.992774,0.547723,,train,images/train/person_05.jpg,1,person,0.450000,0.450000
true,10,0.573425,0.998846,0.387298,0.132812,train,images/train/person_06.png,1,person,0.520000,0.520000
false,,,0.976500,0.547723,,train,images/train/person_07.jpg,1,person,0.590000,0.590000
false,,,0.924819,0.547723,,train,images/train/person_08.png,1,person,0.660000,0.660000
true,5,0.637380,0.985815,0.547723,0.240625,train,images/train/person_09.jpg,1,person,0.430000,0.430000
true,7,0.590549,0.998846,0.612372,0.053125,train,images/train/slipper_00.png,1,slipper,0.520000,0.520000
false,,,0.976500,0.866025,,train,images/train/slipper_01.jpg,1,slipper,0.590000,0.590000
false,,,0.924819,0.866025,,train,images/train/slipper_02.png,1,slipper,0.660000,0.660000
true,3,0.668228,0.985815,0.866025,0.146875,train,images/train/slipper_03.jpg,1,slipper,0.430000,0.430000
true,1,0.996749,0.992774,1.000000,1.000000,train,images/train/smoking_00.png,1,smoking,0.550000,0.550000
true,11,0.572540,0.958042,0.707107,0.000000,train,images/train/smoking_01.jpg,1,smoking,0.620000,0.620000
false,,,0.893173,1.000000,,train,images/train/smoking_02.png,1,smoking,0.690000,0.690000
true,12,0.563243,0.999711,0.547723,0.010937,train,images/train/tractor_00.png,1,tractor,0.490000,0.490000
false,,,0.989588,0.774597,,train,images/train/tractor_01.jpg,1,tractor,0.560000,0.560000
false,,,0.950672,0.774597,,train,images/train/tractor_02.png,1,tractor,0.630000,0.630000
false,,,0.970951,0.774597,,train,images/train/tractor_03.jpg,1,tractor,0.400000,0.400000
true,2,0.719141,0.997402,0.774597,0.329688,train,images/train/tractor_04.png,1,tractor,0.470000,0.470000
false,,,0.995378,0.707107,,train,images/train/vest_00.png,1,vest,0.460000,0.460000
true,8,0.579456,0.997402,0.500000,0.087500,train,images/train/vest_01.jpg,1,vest,0.530000,0.530000
false,,,0.970951,0.707107,,train,images/train/vest_02.png,1,vest,0.600000,0.600000
false,,,0.914926,0.707107,,train,images/train/vest_03.jpg,1,vest,0.670000,0.670000
false,,,0.989588,0.707107,,train,images/train/vest_04.png,1,vest,0.440000,0.440000
true,6,0.630120,0.999711,0.707107,0.110937,train,images/train/vest_05.jpg,1,vest,0.510000,0.510000
