priority_rank,priority_score,uncertainty_score,rarity_score,diversity_score,split,image,candidate_count,candidate_classes,min_confidence,max_confidence
1,0.996749,0.992774,1.000000,1.000000,train,images/train/smoking_00.png,1,smoking,0.550000,0.550000
2,0.719141,0.997402,0.774597,0.329688,train,images/train/tractor_04.png,1,tractor,0.470000,0.470000
3,0.668228,0.985815,0.866025,0.146875,train,images/train/slipper_03.jpg,1,slipper,0.430000,0.430000
4,0.638676,0.992774,0.612372,0.198437,train,images/train/helmet_06.png,1,helmet,0.550000,0.550000
5,0.637380,0.985815,0.547723,0.240625,train,images/train/person_09.jpg,1,person,0.430000,0.430000
6,0.630120,0.999711,0.707107,0.110937,train,images/train/vest_05.jpg,1,vest,0.510000,0.510000
7,0.590549,0.998846,0.612372,0.053125,train,images/train/slipper_00.png,1,slipper,0.520000,0.520000
8,0.579456,0.997402,0.500000,0.087500,train,images/train/vest_01.jpg,1,vest,0.530000,0.530000
9,0.574516,0.985815,0.433013,0.126562,train,images/train/helmet_02.png,1,helmet,0.570000,0.570000
10,0.573425,0.998846,0.387298,0.132812,train,images/train/person_06.png,1,person,0.520000,0.520000
11,0.572540,0.958042,0.707107,0.000000,train,images/train/smoking_01.jpg,1,smoking,0.620000,0.620000
12,0.563243,0.999711,0.547723,0.010937,train,images/train/tractor_00.png,1,tractor,0.490000,0.490000
